feature,group_A,group_B,estimator,bw_scale,nbins,eps,A_bar,B_bar,C,sign_B
af_very_low_content,Human,Fungal,kde,1.0,20,0.001,0.1136856984602447,0.06271450710726129,0.5516481664507011,1
af_very_low_content,Human,Fungal,kde,1.25,20,0.001,0.09991991420240161,0.058315460595594795,0.5836220042930458,1
af_very_low_content,Human,Fungal,hist,1.0,10,0.001,0.16396309261842007,0.11221796130891289,0.6844098846688014,1
af_very_low_content,Human,Fungal,hist,1.0,20,0.001,0.22865415626024005,0.13562905353879787,0.5931624237979443,1
af_very_low_content,Human,Fungal,hist,1.0,40,0.001,0.2956831741872578,0.20001846727532763,0.6764621214078783,1
af_very_low_content,Human,Fungal,kde,1.0,20,1e-06,0.11647211960124304,0.0610294473313875,0.5239833149798381,1
af_very_low_content,Human,Fungal,kde,1.0,20,0.01,0.10415803359020256,0.0634264672506565,0.608944553429267,1
af_very_low_content,Human,Fungal,kde,1.0,20,0.1,0.07728638474497523,0.04355095620901498,0.5635010144765045,1
af_very_low_content,Human,Bacterial,kde,0.75,20,0.001,0.7606538653148491,0.6782235131698542,0.891632244436337,1
af_very_low_content,Human,Bacterial,kde,1.0,20,0.001,0.7729934700197529,0.6840436209617451,0.8849280718299796,1
af_very_low_content,Human,Bacterial,kde,1.25,20,0.001,0.7792792577859108,0.683605733776446,0.8772281912375127,1
af_very_low_content,Human,Bacterial,hist,1.0,10,0.001,0.7117855370844287,0.6198900042712365,0.8708943522656994,1
af_very_low_content,Human,Bacterial,hist,1.0,20,0.001,0.7043816533257725,0.6327995395458669,0.8983759536581807,1
af_very_low_content,Human,Bacterial,hist,1.0,40,0.001,0.7145994204568118,0.6472565406043672,0.9057613567480991,1
af_very_low_content,Human,Bacterial,kde,1.0,20,1e-06,0.800982386659436,0.7120160693746651,0.8889284973470986,1
af_very_low_content,Human,Bacterial,kde,1.0,20,0.01,0.6912435748490173,0.6024417966950146,0.871533304055088,1
af_very_low_content,Human,Bacterial,kde,1.0,20,0.1,0.48690136847820714,0.399552033551522,0.8206015826168401,1
af_very_low_content,Human,Nematode,kde,0.75,20,0.001,0.15213516271543195,-0.05007515538556758,0.329149123002109,-1
af_very_low_content,Human,Nematode,kde,1.0,20,0.001,0.1092217534173554,-0.08500910003625206,0.7783165658531175,-1
af_very_low_content,Human,Nematode,kde,1.25,20,0.001,0.11957935564970511,-0.10209723060991151,0.8538031506792393,-1
af_very_low_content,Human,Nematode,hist,1.0,10,0.001,0.3878123736223838,0.1078019201326585,0.2779744213051494,1
af_very_low_content,Human,Nematode,hist,1.0,20,0.001,0.44344204812049004,0.21078350816044683,0.4753349598980151,1
af_very_low_content,Human,Nematode,hist,1.0,40,0.001,0.46018935394938976,0.26284364412272637,0.5711641129178167,1
af_very_low_content,Human,Nematode,kde,1.0,20,1e-06,0.1109063568369845,-0.0866009935750506,0.7808478796426513,-1
af_very_low_content,Human,Nematode,kde,1.0,20,0.01,0.09651611821985005,-0.07307620153685665,0.7571398734706613,-1
af_very_low_content,Human,Nematode,kde,1.0,20,0.1,0.05122435600631883,-0.032256077638602144,0.6297019651086129,-1
af_very_low_content,Fungal,Bacterial,kde,0.75,20,0.001,0.7524733885647674,0.6826306528548906,0.9071824508729914,1
af_very_low_content,Fungal,Bacterial,kde,1.0,20,0.001,0.7688411716407307,0.6903099865331752,0.897857726661584,1
af_very_low_content,Fungal,Bacterial,kde,1.25,20,0.001,0.7760681402954968,0.6887778546199946,0.887522395079554,1
af_very_low_content,Fungal,Bacterial,hist,1.0,10,0.001,0.6785333984967634,0.609104520824232,0.897678024653841,1
af_very_low_content,Fungal,Bacterial,hist,1.0,20,0.001,0.5840434965505314,0.5273727793697419,0.9029683276750837,1
af_very_low_content,Fungal,Bacterial,hist,1.0,40,0.001,0.5229104442530796,0.46367030575468327,0.8867107376617531,1
af_very_low_content,Fungal,Bacterial,kde,1.0,20,1e-06,0.794521917407038,0.7159768266783848,0.9011416941335123,1
af_very_low_content,Fungal,Bacterial,kde,1.0,20,0.01,0.6726917095646836,0.5942855646958329,0.8834441635684951,1
af_very_low_content,Fungal,Bacterial,kde,1.0,20,0.1,0.4454390738294647,0.3682604638841602,0.8267358781936313,1
af_very_low_content,Fungal,Nematode,kde,0.75,20,0.001,0.20626922495021272,-0.12400222443839799,0.6011668704739084,-1
af_very_low_content,Fungal,Nematode,kde,1.0,20,0.001,0.1940928080299208,-0.15287339426035007,0.7876303909044561,-1
af_very_low_content,Fungal,Nematode,kde,1.25,20,0.001,0.19798020570647448,-0.1624950675084635,0.8207642118999449,-1
af_very_low_content,Fungal,Nematode,hist,1.0,10,0.001,0.40412265752964727,0.056121958789542695,0.1388735764844501,1
af_very_low_content,Fungal,Nematode,hist,1.0,20,0.001,0.3847594269823408,0.06688480493785304,0.17383538971982831,1
af_very_low_content,Fungal,Nematode,hist,1.0,40,0.001,0.32985634386880125,0.06181669388772779,0.1874048962123799,1
af_very_low_content,Fungal,Nematode,kde,1.0,20,1e-06,0.1961499882198553,-0.15490673396428148,0.7897361369741904,-1
af_very_low_content,Fungal,Nematode,kde,1.0,20,0.01,0.17828733920719605,-0.13728131657977743,0.7700003667688169,-1
af_very_low_content,Fungal,Nematode,kde,1.0,20,0.1,0.11449564799673942,-0.07549519069336046,0.6593717055124261,-1
af_very_low_content,Bacterial,Nematode,kde,0.75,20,0.001,0.7878706596038709,-0.7071016095179492,0.8974843788109444,-1
af_very_low_content,Bacterial,Nematode,kde,1.0,20,0.001,0.793925694765488,-0.7008714818108044,0.8827922895452197,-1
af_very_low_content,Bacterial,Nematode,kde,1.25,20,0.001,0.7968898587437061,-0.6915757106073124,0.8678435332300237,-1
af_very_low_content,Bacterial,Nematode,hist,1.0,10,0.001,0.5806193059362266,-0.5006671838306832,0.8622985469340817,-1
af_very_low_content,Bacterial,Nematode,hist,1.0,20,0.001,0.45704295659028327,-0.39337301020034865,0.8606915488536636,-1
af_very_low_content,Bacterial,Nematode,hist,1.0,40,0.001,0.48314390884646247,-0.3244735177550503,0.6715877232722481,-1
af_very_low_content,Bacterial,Nematode,kde,1.0,20,1e-06,0.8008665466632392,-0.7077946091106208,0.8837859591708545,-1
af_very_low_content,Bacterial,Nematode,kde,1.0,20,0.01,0.7408860591812494,-0.6479912016491111,0.8746165400455825,-1
af_very_low_content,Bacterial,Nematode,kde,1.0,20,0.1,0.5169051498091495,-0.42557229988089434,0.8233082994781986,-1
