family,n_A,n_B,n_eff,imbalance_ratio,bandwidth_condition,n_outer,A_bar_median,A_bar_mean,A_bar_std,A_bar_q90,A_bar_q95,A_bar_q99,A_w_median,A_w_mean,A_w_std,A_w_q90,A_w_q95,A_w_q99,B_bar_median,B_bar_mean,B_bar_std,B_bar_q90,B_bar_q95,B_bar_q99,ks_stat_median,ks_stat_mean,ks_stat_std,ks_stat_q90,ks_stat_q95,ks_stat_q99,abs_B_bar_median
A_interior_unimodal,50,50,50.0,1.0,independent,1000,0.22996869216725502,0.23467954085661138,0.07801098560763661,0.3416541762767685,0.36942321001027845,0.43021047782826893,0.10834238668687615,0.11500853209319312,0.04327258469283632,0.171684106289282,0.19492853689015932,0.2351785380105687,0.008071573460992049,0.004975513907599933,0.14343202061926047,0.19642508109188828,0.2376373822721742,0.30373081272925095,0.16,0.16452000000000003,0.05108208080118682,0.24,0.26,0.3,0.10676636893450207
A_interior_unimodal,50,50,50.0,1.0,shared_pooled,1000,0.24851898589852528,0.2503507502439062,0.07495070819127973,0.3496699437699943,0.3797678404754329,0.43101322192752445,0.11776382559211454,0.12356017311337181,0.04262737090661492,0.18201211462121433,0.2028621722151285,0.2352933322693747,-0.0002552698931662378,-0.0008831568897872963,0.13136268814402735,0.17752799484699955,0.22019525146612268,0.28896905577380205,0.16,0.16724,0.05360649266699003,0.24,0.28,0.3,0.09255511319312161
A_interior_unimodal,200,200,200.0,1.0,independent,1000,0.15848045093376814,0.16086058043659335,0.04955164393364123,0.22809922763392532,0.2483513414288704,0.29313157930137346,0.06650075927133167,0.06860184443729765,0.02236039669115915,0.0989821635288485,0.10801001089664568,0.13029513830065592,-0.0010048300147149575,-0.0004258712335417991,0.09970461631221388,0.13010326549248752,0.16029504000107195,0.2155423460498564,0.08,0.08411500000000001,0.024849734088804337,0.12,0.13,0.16,0.06971085961884774
A_interior_unimodal,200,200,200.0,1.0,shared_pooled,1000,0.1677070572319974,0.17018717334632663,0.0499997208131239,0.23459161040860835,0.2544533812258868,0.2867453480742853,0.06996260328971125,0.07249172924871579,0.022358995265825545,0.1021248056377781,0.11302132079014614,0.13225217603697173,0.0026124887202416975,0.002456722419358274,0.09138897500044306,0.12462886457817429,0.15097928858881,0.1988936045990695,0.08,0.08415500000000001,0.026711879370413073,0.12050000000000011,0.135,0.155,0.06224879089201048
A_interior_unimodal,800,800,800.0,1.0,independent,1000,0.10498617766143978,0.10819601833380611,0.03333532805803517,0.1527049637133066,0.17053725506724973,0.19644421236555132,0.03887622148652328,0.0401399751104926,0.011261745823141482,0.055748890249428425,0.06048416558325468,0.07040491003191558,0.0008861142332056747,0.0008188206532489519,0.06225783031178442,0.08399825092091702,0.1003568341111975,0.1498324263439025,0.04125,0.04301625,0.01285849969677458,0.06125,0.0675,0.07877499999999998,0.043080781683216815
A_interior_unimodal,800,800,800.0,1.0,shared_pooled,1000,0.1156537803424903,0.11832908056479548,0.03291985860898675,0.16145682261901603,0.1772332298594438,0.1974821299563712,0.04226023992896499,0.043001461483161744,0.011278591475654819,0.05790549243934339,0.06258161569089711,0.07148984753832922,0.005505182252391057,0.0004682284473054322,0.06397471920370547,0.08229462432179503,0.09800406329196454,0.1394917121936253,0.04125,0.0424075,0.012732849021102631,0.06,0.06625,0.07625,0.04463605218065579
A_interior_unimodal,50,100,66.66666666666667,2.0,independent,1000,0.21466289326593885,0.21938267839142925,0.07617488693216494,0.3198954647145778,0.3494545954699674,0.4140857003149542,0.09827125574849836,0.10386090993938837,0.03945597224918113,0.15840181337009943,0.17785487413352877,0.2097419253730632,0.00721695006210302,-0.00011723069665262064,0.1367179079120622,0.1738073545375275,0.20836822256853055,0.25791657993744627,0.14,0.14470000000000002,0.04647440015610605,0.21,0.24,0.28,0.099494151580899
A_interior_unimodal,50,100,66.66666666666667,2.0,shared_pooled,1000,0.23113415076516958,0.23354747937815198,0.07286978798700462,0.3291643165221824,0.3647538577359533,0.40894788132692983,0.10590159948446518,0.1096696787942817,0.037445603155362266,0.15583647784746213,0.17607246004127092,0.22285553029730967,-0.0376994232682462,-0.03794178189541099,0.12341540769477263,0.12579069531005174,0.16583966627028673,0.22949534574970584,0.13,0.14288,0.044856635158220665,0.2,0.22049999999999956,0.28,0.08699994922392418
A_interior_unimodal,50,250,83.33333333333333,5.0,independent,1000,0.20566223833269873,0.2101423879622813,0.06401964314648421,0.2956789468773961,0.32002323549877626,0.3667475736214401,0.08928042084925357,0.09370747394497932,0.03310522939146082,0.13563079842739947,0.15605860218456122,0.19633870299610634,0.03704433856538043,0.021264077669082337,0.12965607337550414,0.177943386658707,0.20892293910330084,0.23838299504911079,0.124,0.129444,0.040493587079864814,0.184,0.208,0.26,0.1003534543495341
A_interior_unimodal,50,250,83.33333333333333,5.0,shared_pooled,1000,0.23830722284805572,0.2402728692260851,0.06474460471259373,0.32678130096861085,0.3522496839862478,0.3890969475546935,0.10719544664523509,0.10946638445936548,0.035180646696470586,0.15631439153507232,0.1728649466264903,0.20652894753854958,-0.07469860139996996,-0.07338105379716774,0.11503153213563325,0.07566100151148235,0.1250351446554821,0.19264649876396175,0.124,0.13105599999999998,0.03953610967164028,0.18,0.204,0.24403999999999995,0.09284429650562043
