feature,comp,A,A_null_med,A_null_p95,p_A,Aw,Aw_null_med,p_Aw,Tmax,p_Tmax,p_A_holm,p_Aw_holm,p_Tmax_holm
D_exp,Human-Fungal,0.18121552064102658,0.08918441204565453,0.14147528433988688,0.0029985007496251873,0.15389590338315337,0.06621982355302533,0.0004997501249375312,0.3391569698369813,0.2098950524737631,0.014992503748125937,0.0029985007496251873,0.8545727136431784
D_exp,Human-Bacterial,0.14314910918040413,0.1107076352778452,0.17424624697472593,0.17791104447776113,0.08559041967717611,0.07890795805854742,0.40429785107446276,0.3504016737107462,0.3598200899550225,0.5337331334332833,1.0,1.0
D_exp,Human-Nematode,0.11421934803955618,0.15472709309618593,0.2450941900258725,0.8440779610194903,0.05645394229024303,0.11721770347286925,0.9785107446276862,0.4429217517988983,0.38630684657671166,0.9365317341329336,1.0,1.0
D_exp,Fungal-Bacterial,0.25537093581431747,0.09118741455874275,0.16095364265352013,0.0004997501249375312,0.15221112895835742,0.05555770286671599,0.001999000499750125,0.5573075585260643,0.009495252373813094,0.0029985007496251873,0.009995002498750623,0.056971514242878565
D_exp,Fungal-Nematode,0.19447222212714588,0.10881485733129867,0.20809483434162887,0.07446276861569215,0.15857084869349092,0.07636784672297164,0.034482758620689655,0.43558133785788256,0.17091454272863568,0.2978510744627686,0.13793103448275862,0.8545727136431784
D_exp,Bacterial-Nematode,0.17408354748683574,0.16821033747267058,0.3134706106899623,0.4682658670664668,0.07829341503476518,0.07989268653699937,0.5207396301849075,0.5203728452045716,0.42028985507246375,0.9365317341329336,1.0,1.0
af_very_low_content,Human-Fungal,0.1136856984602447,0.11754537102203858,0.20522364925703307,0.5362318840579711,0.06409031812276521,0.05050617615436999,0.23638180909545228,0.22713729634225377,0.4387806096951524,1.0,0.7091454272863569,1.0
af_very_low_content,Human-Bacterial,0.7729934700197529,0.14390779248324675,0.23879131049079674,0.0004997501249375312,0.5034313201806765,0.06223291221114112,0.0004997501249375312,0.9968802844984714,0.0004997501249375312,0.0029985007496251873,0.0029985007496251873,0.0029985007496251873
af_very_low_content,Human-Nematode,0.1092217534173554,0.17945722872862996,0.32983987182209784,0.8895552223888056,0.030030662308636623,0.08599669540047361,0.991504247876062,0.09110650054033562,0.9955022488755623,1.0,1.0,1.0
af_very_low_content,Fungal-Bacterial,0.7688411716407307,0.2595859078841284,0.37039438639625255,0.0004997501249375312,0.46473567672892896,0.06763654606513186,0.0004997501249375312,0.9957213833143942,0.0004997501249375312,0.0029985007496251873,0.0029985007496251873,0.0029985007496251873
af_very_low_content,Fungal-Nematode,0.1940928080299208,0.23040912774907352,0.3809224796448366,0.7266366816591704,0.08094419881193714,0.08725006250824192,0.5822088955522239,0.2742121449924176,0.7941029485257372,1.0,1.0,1.0
af_very_low_content,Bacterial-Nematode,0.793925694765488,0.3982788539521989,0.5638679039820869,0.0004997501249375312,0.5162276081539409,0.1029405941442274,0.0004997501249375312,0.9972404846309483,0.0004997501249375312,0.0029985007496251873,0.0029985007496251873,0.0029985007496251873
