group,n_paired,spearman_rho,p,rho_lo,rho_hi,median_D_exp,median_af,median_signed_gap,mean_signed_gap,wilcoxon_p
Human,1246,0.0707938832057272,0.012434682439892606,0.01053791915086753,0.13275345145682846,0.12427562814337505,0.17626346313173155,0.0011403288120069993,0.004796915438850595,0.0677716009436366
Fungal,219,0.2356362920230058,0.00043679312127807075,0.08929807527583232,0.36911105677699435,0.1801801801801801,0.1433823529411764,-0.0405405405405405,-0.09471915411756808,6.656239190093361e-05
Bacterial,143,0.1766521660877584,0.03481186838006113,0.005363615940183985,0.34489143437350916,0.1157894736842105,0.0277777777777777,-0.0833333333333333,-0.15486372883171784,5.498851643814861e-21
Nematode,54,0.1762564562251925,0.20233863292421336,-0.11457176489653412,0.4662751021554728,0.0955935448118356,0.14311315924219145,0.019540665823851694,0.032716344211128685,0.3149985654860794
